,Outputs,λ,q0,q1,q2,q3,q4,q5,q6,5PRes,5PResT,Wall time,Process time,Wall time sim,Process time sim
,"[0.104500683654727, 0.159627277133999, 0.186879074017728, 0.183820382461947, 0.158410423135405, 0.122043522820553, 0.0847186367756406]",6.0,0.104500683654727,0.159627277133999,0.186879074017728,0.183820382461947,0.158410423135405,0.122043522820553,0.0847186367756406,2.83701769985353,14.1850884992676,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0980091916453608, 0.160801765219280, 0.193744839643498, 0.190517994444879, 0.160534526740816, 0.118687135370014, 0.0777045469361524]",7.0,0.0980091916453608,0.160801765219280,0.193744839643498,0.190517994444879,0.160534526740816,0.118687135370014,0.0777045469361524,2.82164649327116,14.1082324663558,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0917487251840585, 0.161632635687288, 0.200467682234498, 0.197134105586682, 0.162474877532559, 0.115312994475602, 0.0712289792993116]",8.0,0.0917487251840585,0.161632635687288,0.200467682234498,0.197134105586682,0.162474877532559,0.115312994475602,0.0712289792993116,2.80780867522045,14.0390433761022,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0857464063743761, 0.162147914496468, 0.207044543463852, 0.203659511764395, 0.164227851486548, 0.111924661469632, 0.0652491109447295]",9.0,0.0857464063743761,0.162147914496468,0.207044543463852,0.203659511764395,0.164227851486548,0.111924661469632,0.0652491109447295,2.79524491568008,13.9762245784004,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0800180970573529, 0.162372699463909, 0.213473127237658, 0.210086928117629, 0.165792679859177, 0.108528351275163, 0.0597281169891102]",10.0,0.0800180970573529,0.162372699463909,0.213473127237658,0.210086928117629,0.165792679859177,0.108528351275163,0.0597281169891102,2.78376091603930,13.9188045801965,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0556010868516732, 0.159882190095981, 0.243362023635262, 0.240597731499325, 0.170890242029902, 0.0917104939965446, 0.0379562318913115]",15.0,0.0556010868516732,0.159882190095981,0.243362023635262,0.240597731499325,0.170890242029902,0.0917104939965446,0.0379562318913115,2.73825026131468,13.6912513065734,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0377091613057376, 0.152958700061308, 0.269572820790306, 0.268250389271206, 0.171942264024006, 0.0758757669625961, 0.0236908975848387]",20.0,0.0377091613057376,0.152958700061308,0.269572820790306,0.268250389271206,0.171942264024006,0.0758757669625961,0.0236908975848387,2.70614878587358,13.5307439293679,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0251010767915859, 0.143307584979943, 0.292396288415130, 0.293131677976991, 0.169792716582450, 0.0617093522960259, 0.0145613029578745]",25.0,0.0251010767915859,0.143307584979943,0.292396288415130,0.293131677976991,0.169792716582450,0.0617093522960259,0.0145613029578745,2.68258064129835,13.4129032064918,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.0106721255095776, 0.120478441181633, 0.329481099708050, 0.335675660301435, 0.159079818242341, 0.0393030523097968, 0.00530980274716632]",35.0,0.0106721255095776,0.120478441181633,0.329481099708050,0.335675660301435,0.159079818242341,0.0393030523097968,0.00530980274716632,2.65116097250338,13.2558048625169,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.00277073627695322, 0.0869702819650731, 0.369189208159130, 0.385708801831807, 0.135467297408034, 0.0187916869608084, 0.00110198739819452]",50.0,0.00277073627695322,0.0869702819650731,0.369189208159130,0.385708801831807,0.135467297408034,0.0187916869608084,0.00110198739819452,2.62491465260410,13.1245732630205,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[0.000267632565624075, 0.0462279202457229, 0.408406692829013, 0.445068043933621, 0.0949210383273100, 0.00503512900086130, 7.35430978479777e-5]",75.0,0.000267632565624075,0.0462279202457229,0.408406692829013,0.445068043933621,0.0949210383273100,0.00503512900086130,7.35430978479777e-5,2.60354649460524,13.0177324730262,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[2.42405743885411e-5, 0.0231533199710991, 0.426739234738694, 0.485812065555725, 0.0629875263725793, 0.00127895532534768, 4.65746216699299e-6]",100.0,2.42405743885411e-5,0.0231533199710991,0.426739234738694,0.485812065555725,0.0629875263725793,0.00127895532534768,4.65746216699299e-6,2.59244081300572,12.9622040650286,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
,"[1.83425539579617e-7, 0.00538925949784218, 0.432486644885062, 0.536408900636846, 0.0256389324579683, 7.60619314298843e-5, 1.71653120150433e-8]",150.0,1.83425539579617e-7,0.00538925949784218,0.432486644885062,0.536408900636846,0.0256389324579683,7.60619314298843e-5,1.71653120150433e-8,2.58252539365940,12.9126269682970,7205.218150854111,7139.822017000006,7191.300765037537,7125.8109600000025
