,,Outputs,λ,q0,q1,q2,q3,q4,q5,q6,2PRes,2PResT,Wall time,Process time,Wall time sim,Process time sim
17,,"[0.0232159773882216, 0.105998742925691, 0.160717228338756, 0.186197350737291, 0.189218176674290, 0.177469654985744, 0.157182868950005]",3.5,0.0232159773882216,0.105998742925691,0.160717228338756,0.186197350737291,0.189218176674290,0.177469654985744,0.157182868950005,3.57334344714099,7.14668689428198,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
18,,"[0.0181733879781023, 0.0986741469130361, 0.159960422505691, 0.190167018380306, 0.194310296039593, 0.180967785359330, 0.157746942823942]",4.0,0.0181733879781023,0.0986741469130361,0.159960422505691,0.190167018380306,0.194310296039593,0.180967785359330,0.157746942823942,3.61765781496401,7.23531562992802,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
19,,"[0.0111835033569862, 0.0849099570259052, 0.157383172443106, 0.197186079755510, 0.203843731294326, 0.187294918544932, 0.158198637579234]",5.0,0.0111835033569862,0.0849099570259052,0.157383172443106,0.197186079755510,0.203843731294326,0.187294918544932,0.158198637579234,3.69227588455602,7.38455176911203,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
20,,"[0.00690778486303645, 0.0726176345522068, 0.153811886146450, 0.203216256326160, 0.212669586999706, 0.192869783753881, 0.157907067358560]",6.0,0.00690778486303645,0.0726176345522068,0.153811886146450,0.203216256326160,0.212669586999706,0.192869783753881,0.157907067358560,3.75235984674318,7.50471969348635,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
21,,"[0.00427648603560521, 0.0618640871386889, 0.149595564414300, 0.208468460237130, 0.220937299628261, 0.197828740107665, 0.157029362438350]",7.0,0.00427648603560521,0.0618640871386889,0.149595564414300,0.208468460237130,0.220937299628261,0.197828740107665,0.157029362438350,3.80152967036015,7.60305934072030,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
22,,"[0.00265127144705242, 0.0525627520850582, 0.144963514341941, 0.213093054948379, 0.228759542122018, 0.202279195439853, 0.155690669615699]",8.0,0.00265127144705242,0.0525627520850582,0.144963514341941,0.213093054948379,0.228759542122018,0.202279195439853,0.155690669615699,3.84234710899560,7.68469421799121,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
23,,"[0.00164518265330863, 0.0445705925334587, 0.140070477174299, 0.217198622941512, 0.236221054680479, 0.206304779169967, 0.153989290846976]",9.0,0.00164518265330863,0.0445705925334587,0.140070477174299,0.217198622941512,0.236221054680479,0.206304779169967,0.153989290846976,3.87665127536020,7.75330255072040,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
24,,"[0.00102144127257917, 0.0377321148671763, 0.135024357591405, 0.220864970406116, 0.243385433892907, 0.209969951748388, 0.152001730221428]",10.0,0.00102144127257917,0.0377321148671763,0.135024357591405,0.220864970406116,0.243385433892907,0.209969951748388,0.152001730221428,3.90577761691047,7.81155523382095,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
25,,"[9.42535908884833e-5, 0.0161057291302622, 0.109637944457825, 0.234314087011948, 0.276090410968910, 0.224290611373079, 0.139466963467088]",15.0,9.42535908884833e-5,0.0161057291302622,0.109637944457825,0.234314087011948,0.276090410968910,0.224290611373079,0.139466963467088,4.00094036062532,8.00188072125063,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
26,,"[8.58905560992230e-6, 0.00671995809325091, 0.0866746424186456, 0.242140341298829, 0.305447326526469, 0.233939411566825, 0.125069731040370]",20.0,8.58905560992230e-6,0.00671995809325091,0.0866746424186456,0.242140341298829,0.305447326526469,0.233939411566825,0.125069731040370,4.04839501700925,8.09679003401850,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
27,,"[7.67872848027434e-7, 0.00275870201514171, 0.0673856711872862, 0.246204970997280, 0.332708851621049, 0.240384013470195, 0.110557022836200]",25.0,7.67872848027434e-7,0.00275870201514171,0.0673856711872862,0.246204970997280,0.332708851621049,0.240384013470195,0.110557022836200,4.07224256823392,8.14448513646785,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
28,,"[5.81963059990616e-9, 0.000448346961342204, 0.0393781793923612, 0.246568316845417, 0.382989097765637, 0.246582224631459, 0.0840338285841525]",35.0,5.81963059990616e-9,0.000448346961342204,0.0393781793923612,0.246568316845417,0.382989097765637,0.246582224631459,0.0840338285841525,4.08798014200708,8.17596028401415,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
29,,"[3.46579477474162e-12, 2.75140104504235e-5, 0.0166285453099672, 0.234714087998061, 0.450664398168202, 0.244663982146525, 0.0533014723633290]",50.0,3.46579477474162e-12,2.75140104504235e-5,0.0166285453099672,0.234714087998061,0.450664398168202,0.244663982146525,0.0533014723633290,4.08321320620997,8.16642641241995,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
30,,"[1.24909349726463e-17, 2.38044375785454e-7, 0.00363237603211906, 0.199924844153808, 0.548469647274104, 0.224692693937540, 0.0232802005580537]",75.0,1.24909349726463e-17,2.38044375785454e-7,0.00363237603211906,0.199924844153808,0.548469647274104,0.224692693937540,0.0232802005580537,4.06406278470247,8.12812556940495,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
31,,"[4.28501075743408e-23, 1.94340367929335e-9, 0.000748767086261734, 0.161032454835629, 0.632602585585842, 0.195944944187493, 0.00967124636137043]",100.0,4.28501075743408e-23,1.94340367929335e-9,0.000748767086261734,0.161032454835629,0.632602585585842,0.195944944187493,0.00967124636137043,4.05275744207187,8.10551488414374,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
32,,"[5.14254769735072e-34, 1.17850563577090e-13, 2.86331094242455e-5, 0.0945290900653542, 0.767173905805683, 0.136729282137578, 0.00153908888184324]",150.0,5.14254769735072e-34,1.17850563577090e-13,2.86331094242455e-5,0.0945290900653542,0.767173905805683,0.136729282137578,0.00153908888184324,4.04522110361671,8.09044220723342,61.16940689086914,61.192565,61.14200019836426,61.164458999999965
