0.000000,res4,sumRes4
98479.294635,2.618787,13.093935000000002
108327.095057,2.618789,13.093945
119159.675523,2.6187899999999997,13.09395
131075.514035,2.618792,13.09396
144182.936399,2.618793,13.093965
158601.101001,2.618794,13.093969999999999
174461.082063,2.6187959999999997,13.093979999999998
191907.061231,2.6187970000000003,13.093985000000002
211097.638317,2.618798,13.09399
232207.273112,2.618799,13.093995
255427.871386,2.618799,13.093995
280970.529489,2.6188000000000002,13.094000000000001
309067.453402,2.6188010000000004,13.094005000000003
339974.069706,2.6188010000000004,13.094005000000003
373971.347641,2.6188019999999996,13.094009999999997
411368.35337,2.6188019999999996,13.094009999999997
452505.059672,2.6188029999999998,13.094014999999999
497755.436604,2.6188029999999998,13.094014999999999
547530.85123,2.618804,13.09402
602283.807318,2.618804,13.09402
662512.059016,2.618804,13.09402
